dataset_id,size,number_of_classes,number_of_literals,number_of_entities,number_of_properties,number_of_connections,number_of_connected_vertices,average_literals_per_vertex,relevance
1515,356156,500,5230,500,6230,1000,501,10.46,0.0
15150,159924,306,888,306,1880,992,316,16.012,0.0
15156,2231685,1663,10063,1663,14170,4107,3416,5.912,0.0
1516,839196,500,12378,500,13378,1000,501,24.756,0.0
1517,1239322,500,21025,500,22025,1000,501,42.05,0.0
15173,65424,82,116,82,352,236,114,3.624,0.7
15174,586851,632,1274,632,3072,1798,822,4.246,0.7
15175,47139,38,62,38,304,242,204,4.77,0.6666666666666666
15176,3533524,8658,7796,8658,20994,13198,4856,3.308,0.8333333333333334
1518,346435,500,5229,500,6229,1000,501,10.458,0.0
15186,51276814,37752,139108,37752,291720,152612,39126,7.37,0.7
15187,2395729,3276,5616,3276,11882,6266,2114,5.576,0.5
1519,1165976,500,16447,500,17447,1000,501,32.894,0.0
15191,70705,30,28,30,322,294,404,4.666,0.6666666666666666
15192,865595,854,2184,854,4736,2552,948,5.126,0.6666666666666666
1520,492807,500,8337,500,9337,1000,501,16.674,0.0
15205,47472,117,162,117,518,356,141,1.929,0.0
1521,340304,500,5105,500,6105,1000,501,10.21,0.0
1522,946966,500,16174,500,17174,1000,501,32.348,0.0
1523,1780205,500,30546,500,31546,1000,501,61.092,0.0
1524,403384,500,6262,500,7262,1000,501,12.524,0.0
15243,4189129327,11678199,32768761,78537954,50857791,16001964,11678166,4.354946744206239,0.5
15245,4517,5,15,5,45,30,29,3.75,0.0
1525,32148,7,531,7,545,14,8,75.857,0.0
1526,1397286,500,23697,500,24697,1000,501,47.394,0.0
15261,279879,838,4278,838,8399,4121,2138,12.261,0.0
1527,2104976,500,30900,500,31900,1000,501,61.8,0.0
15275,25039544,44874,94625,44874,225589,130964,44711,2.123,0.0
1528,394188,500,5516,500,6516,1000,501,11.032,0.0
15282,9922453,34381,206286,34381,273158,66872,34748,24.0,0.0
1529,10872,16,128,16,160,32,17,8.0,0.0
1530,441834,500,6000,500,7000,1000,501,12.0,0.0
1531,282333,500,3500,500,4500,1000,501,7.0,0.0
1532,760449,500,12619,500,13619,1000,501,25.238,0.0
1533,455764,500,7427,500,8427,1000,501,14.854,0.0
15333,100704,282,290,282,1302,1012,273,4.823,0.0
1534,419318,296,6327,296,6919,592,297,21.375,0.0
1535,1197644,500,18887,500,19887,1000,501,37.774,0.0
1536,975700,500,16975,500,17975,1000,501,33.95,0.0
1537,989008,500,16530,500,17530,1000,501,33.06,0.0
1538,1752654,500,24350,500,25350,1000,501,48.7,0.0
15381,3122417,853,14703,853,37396,22693,2226,30.537,0.5
1539,562487,500,7500,500,8500,1000,501,15.0,0.0
1540,445908,500,6000,500,7000,1000,501,12.0,0.0
1541,419508,105,7109,105,7319,210,106,67.705,0.0
15414,48078098,1642,2709,1642,441792,439083,282034,647.284,0.0
1542,733835,500,11944,500,12944,1000,501,23.888,0.0
1543,1607954,500,27440,500,28440,1000,501,54.88,0.0
1544,728182,281,12115,281,12677,562,282,43.114,0.0
15442,3727,5,11,5,32,21,14,2.75,0.0
1545,146109,297,1908,297,2502,594,298,6.424,0.0
15458,6675,6,11,6,53,42,35,2.75,0.0
1546,142971,296,1804,296,2396,592,297,6.095,0.0
15468,127101,378,2079,378,2835,756,380,5.5,0.0
15469,115317,342,1881,342,2565,684,345,5.5,0.5
1547,447104,500,7174,500,8174,1000,501,14.348,0.0
15470,3649,0,30,0,35,5,6,6.0,0.0
15471,7745,17,102,17,136,34,18,6.0,0.0
15472,4541,9,45,9,63,18,10,5.0,0.0
15473,10861,19,114,19,152,38,20,6.0,0.0
15474,5994,13,47,13,73,26,14,3.615,0.0
15475,1279,0,8,0,10,2,3,4.0,0.5
15477,434257,500,6000,500,7000,1000,501,12.0,1.0
15478,465914,0,6000,0,6500,500,501,12.0,0.0
1548,1739152,500,30001,500,31001,1000,501,60.002,0.0
15480,2718,7,28,7,42,14,8,4.0,0.0
15482,326083,0,3500,0,4000,500,501,7.0,0.0
15483,224047,500,2500,500,3500,1000,501,5.0,0.0
15484,14794,34,151,34,219,68,35,4.441,0.0
15485,438323,0,5228,0,5728,500,501,10.456,0.0
15488,350333,0,4078,0,4578,500,501,8.156,0.0
15489,255740,500,3498,500,4498,1000,501,6.996,0.0
1549,411348,500,6766,500,7766,1000,501,13.532,0.0
15491,622078,0,5990,0,6490,500,501,11.98,0.0
15492,1583433,0,13992,0,14492,500,501,27.984,0.0
15493,365416,500,5000,500,6000,1000,501,10.0,0.0
15494,2088230,0,28689,0,29189,500,501,57.378,0.0
15495,374292,0,5074,0,5574,500,501,10.148,0.0
15496,260265,500,3503,500,4503,1000,501,7.006,0.0
15497,374795,500,5636,500,6636,1000,501,11.272,0.0
1550,325305,500,4766,500,5766,1000,501,9.532,0.0
15500,280721,500,2500,500,3500,1000,501,5.0,0.0
15501,182681,0,2000,0,2500,500,501,4.0,0.0
15502,157718,306,2370,306,2982,612,308,7.745,0.0
15503,462709,500,5500,500,6500,1000,501,11.0,0.0
15505,222598,0,2000,0,2500,500,501,4.0,0.0
15506,254543,0,2797,0,3297,500,501,5.594,0.0
15507,382600,0,4000,0,4500,500,501,8.0,0.0
15508,303839,500,3877,500,4877,1000,501,7.754,0.0
15509,1924856,0,23386,0,23886,500,501,46.772,0.0
1551,1947585,500,33625,500,34625,1000,501,67.25,0.0
15510,200963,0,2239,0,2640,401,402,5.584,0.0
15513,435749,0,4500,0,5000,500,501,9.0,0.0
15514,1931341,0,15536,0,16036,500,501,31.072,0.0
15515,166880,0,1500,0,2000,500,501,3.0,0.0
15516,387583,0,4500,0,5000,500,501,9.0,0.0
15517,190780,0,2003,0,2503,500,501,4.006,0.0
15518,330937,0,3500,0,4000,500,501,7.0,0.0
15519,248052,0,2500,0,3000,500,501,5.0,0.0
1552,1702,1,18,1,20,2,2,18.0,0.0
15520,357500,1000,4546,1000,6546,2000,1002,4.546,0.0
15521,755206,500,2562,500,3562,1000,501,5.124,0.0
15522,237705,500,3016,500,4016,1000,501,6.032,0.0
15523,1080717,0,14753,0,15253,500,501,29.506,0.0
15524,207904,0,1962,0,2462,500,501,3.924,0.0
15525,415122,500,5905,500,6905,1000,501,11.81,0.0
15526,227089,500,3000,500,4000,1000,501,6.0,0.0
15527,412583,0,4500,0,5000,500,501,9.0,0.0
15528,445583,0,4500,0,5000,500,501,9.0,0.0
1553,1696954,500,23463,500,24463,1000,501,46.926,0.0
15530,316080,500,4363,500,5363,1000,501,8.726,0.0
15531,287491,500,3497,500,4497,1000,501,6.994,0.0
15532,218815,0,2500,0,3000,500,501,5.0,0.0
15533,292584,0,3000,0,3500,500,501,6.0,0.0
15534,317208,500,4517,500,5517,1000,501,9.034,0.0
15535,209984,596,2929,596,4121,1192,598,4.914,0.0
15536,363721,0,4000,0,4500,500,501,8.0,0.0
15537,255881,0,3303,0,3803,500,501,6.606,0.0
15539,122552,176,1668,176,2196,528,354,4.739,0.0
1554,582252,342,9025,342,9709,684,343,26.389,0.0
15540,259015,500,3000,500,4000,1000,501,6.0,0.0
15541,300683,500,3123,500,4123,1000,501,6.246,0.0
15543,304151,0,3048,0,3548,500,501,6.096,0.0
15544,318226,500,4253,500,5253,1000,501,8.506,0.0
15545,99724,164,1028,164,1356,328,165,6.268,0.0
15546,398815,0,1552,0,2885,1333,1334,1.164,0.0
15547,246767,388,2325,388,3101,776,389,5.992,0.0
1555,214084,256,3072,256,3584,512,257,12.0,0.0
15550,862827,907,2983,907,6964,3981,1258,9.998,0.0
1556,858664,112,13427,112,13651,224,113,119.884,0.0
15569,626567,500,9421,500,10921,1500,502,18.842,0.0
1557,39699,13,676,13,702,26,14,52.0,0.0
15571,202098,500,2000,500,3000,1000,501,4.0,0.0
15575,318983,97,2199,97,2393,194,98,22.67,0.0
15576,6261,10,40,10,70,30,12,4.0,0.0
1558,1967845,500,34111,500,35111,1000,501,68.222,0.0
15581,153347,149,1389,149,1687,298,150,9.322,0.0
15584,613520,500,7073,500,8573,1500,502,14.146,0.0
1559,660437,500,9979,500,10979,1000,501,19.958,0.0
15590,48666,34,306,34,374,68,35,9.0,0.0
15591,814692,500,5854,500,6854,1000,501,11.708,0.0
15598,9890,18,72,18,126,54,22,4.0,0.0
1560,80419,96,1404,96,1596,192,97,14.625,0.0
15605,8383,17,34,17,85,51,35,2.0,0.0
15609,76478,0,787,0,866,79,80,9.962,0.0
1561,570103,500,9142,500,10142,1000,501,18.284,0.0
1562,445638,500,6000,500,7000,1000,501,12.0,0.0
15621,687052,500,8039,500,9534,1495,502,16.078,0.0
15624,108166,1,4,1,6,2,2,4.0,0.0
15625,1522,0,9,0,10,1,2,9.0,0.0
1563,726518,112,11187,112,11411,224,113,99.884,0.0
1564,3922,2,52,2,56,4,3,26.0,0.0
15641,1993286,2147,3439,2147,15110,11671,1889,2.031,0.8333333333333334
15642,241394,117,191,117,781,590,157,1.592,1.0
15647,8264,0,84,0,104,20,21,4.2,0.0
15648,1951,1,3,1,5,2,2,3.0,0.0
15649,475573,255,5011,255,5521,510,256,19.651,0.0
1565,564848,500,9576,500,10576,1000,501,19.152,0.0
15650,17169,12,216,12,240,24,13,18.0,0.0
15651,150198,142,1844,142,2128,284,143,12.986,0.0
15652,9577,12,120,12,144,24,13,10.0,0.5
15653,1951,1,3,1,5,2,2,3.0,0.0
15658,98854,136,222,136,812,590,179,1.644,0.0
1566,781891,500,12500,500,13500,1000,501,25.0,0.0
15660,7590,4,19,4,46,27,28,1.462,0.0
1567,853635,500,13170,500,14170,1000,501,26.34,0.0
1568,521000,500,8000,500,9000,1000,501,16.0,0.0
15681,70290585,34595,61233,34595,289907,228674,32716,15.048000000000002,0.5
1569,874500,500,14671,500,15671,1000,501,29.342,0.0
1570,502834,500,6677,500,7677,1000,501,13.354,0.0
1571,781891,500,12500,500,13500,1000,501,25.0,0.0
1572,208412,181,3334,181,3696,362,182,18.42,0.0
15729,7600302,3916,6682,3916,30619,23937,3743,3.762,0.8333333333333334
1573,427503,500,6887,500,7887,1000,501,13.774,0.0
15730,1552321,820,1457,820,6511,5054,920,3.4699999999999998,0.8333333333333334
1574,12913,14,224,14,252,28,15,16.0,0.0
15748,878401,471,908,471,3776,2868,623,3.37,1.0
1577,384117,296,7399,296,7991,592,297,24.997,0.0
1578,1729392,500,29191,500,30191,1000,501,58.382,0.0
15784,116938,117,217,117,900,683,170,1.669,1.0
1579,406464,296,6284,296,6876,592,297,21.23,0.0
1580,936495,500,15482,500,16482,1000,501,30.964,0.0
1581,142327,296,1776,296,2368,592,297,6.0,0.0
15812,3351,0,28,0,35,7,8,4.0,0.0
1583,1662929,500,28337,500,29337,1000,501,56.674,0.0
1584,403854,296,6201,296,6793,592,297,20.949,0.0
1585,695817,500,11457,500,12457,1000,501,22.914,0.0
15853,263578,945,1934,945,4205,2271,832,3.358,0.0
15854,99474,425,899,425,1545,646,248,4.124,0.0
15856,89491,204,820,204,1262,442,257,4.02,0.0
15857,12547,30,120,30,180,60,61,4.0,0.0
15858,311978,1,5110,1,8823,3713,3286,1.835,0.0
15859,1232364,5395,16185,5395,21580,5395,5396,3.0,0.0
1586,997643,500,16649,500,17649,1000,501,33.298,0.0
15860,14362,90,90,90,233,143,86,3.0,0.0
15863,3623924,9622,37708,9622,56796,19088,9476,3.984,0.0
15865,5413,24,72,24,96,24,25,3.0,0.0
15866,46943,268,601,268,957,356,157,4.485,0.0
15868,23922501,62773,250178,62773,375312,125134,62587,16.063000000000002,0.0
15869,1107108,3013,11362,3013,17158,5796,2901,3.921,0.0
15870,2136,4,12,4,24,12,13,3.0,0.0
15872,53708,264,462,264,975,513,312,3.5,0.0
15873,37563,236,354,236,746,392,209,3.0,0.0
15874,17127,1,267,1,448,181,182,1.894,0.0
15877,1286,4,3,4,10,7,8,3.0,0.0
15878,17734,41,134,41,266,132,86,3.268,0.0
1588,1141529,500,18958,500,19958,1000,501,37.916,0.0
15880,2278,15,15,15,35,20,13,3.0,0.0
15881,198245,416,1711,416,2543,832,442,7.749,0.0
15882,207420,436,1789,436,2661,872,464,7.727,0.0
15884,201713,425,1721,425,2571,850,453,7.723,0.0
15885,206801,436,1765,436,2637,872,465,7.713,0.0
15886,979,5,5,5,10,5,6,1.0,0.0
15887,12466,19,88,19,126,38,25,9.244,0.0
15888,12692,19,92,19,130,38,25,9.689,0.0
1589,109691,30,1822,30,1882,60,31,60.733,0.0
15890,12546,19,89,19,127,38,25,9.378,0.0
15892,11458,19,88,19,125,37,31,9.256,0.0
15895,10584,19,78,19,115,37,23,4.105,0.0
15900,10806,18,83,18,119,36,22,4.611,0.0
15901,10157,17,77,17,111,34,21,4.529,0.0
15902,9724,16,75,16,107,32,20,4.688,0.0
15903,176234,608,1313,608,2499,1186,637,2.468,0.0
15905,89179,1,1579,1,2454,875,876,1.976,0.0
15907,42029,196,588,196,784,196,197,3.0,0.0
15908,12183,1,193,1,330,137,138,1.874,0.0
15909,2752,18,18,18,42,24,15,3.0,0.0
15910,39717,80,239,80,482,243,148,2.987,0.0
15911,2591486,757,69447,757,70961,1514,1515,91.74,0.0
15913,2622481,757,69885,757,71399,1514,1515,92.318,0.0
15914,2604145,753,69364,753,70870,1506,1507,92.117,0.0
15915,86481,208,681,208,1201,520,305,3.274,0.0
15916,1822,9,9,9,21,12,9,3.0,0.0
15918,61086,1,1029,1,1774,745,743,1.841,0.0
15920,1239,6,6,6,14,8,7,3.0,0.0
15923,61512,521,1186,521,1707,521,207,5.814,0.0
15925,36032,102,306,102,561,255,178,3.0,0.0
15926,1168267,4405,7315,4405,16102,8787,4408,2.72,0.0
15927,12361,50,135,50,205,70,34,4.5,0.0
15928,451243,1752,4380,1752,7008,2628,896,5.0,0.0
1593,454219,0,9000,0,9500,500,501,18.0,0.0
15930,6657737,15269,61110,15269,106930,45820,31449,4.002,0.0
15931,108582519,341182,341183,341182,909816,568633,113942,36.0,0.0
15932,108149837,340084,340085,340084,906887,566802,113576,36.0,0.0
15933,113461192,347641,347642,347641,927038,579396,116097,36.0,0.0
15934,107089036,351535,351536,351535,937422,585886,117395,36.0,0.0
15935,120355828,375307,375308,375307,1000814,625506,125327,39.0,0.0
15936,105920941,336613,336614,336613,897634,561020,112421,36.0,0.0
15937,101266261,320392,320393,320392,854378,533985,107002,33.0,0.0
15938,115595081,364576,364577,364576,972197,607620,121744,39.0,0.0
15939,108401991,345163,345164,345163,920432,575268,115273,36.0,0.0
1594,451344,0,9000,0,9500,500,501,18.0,0.0
15940,118471937,366169,366170,366169,976447,610277,122274,39.0,0.0
15941,121487054,377923,377924,377923,1007789,629865,126196,39.0,0.0
15942,111276582,344797,344798,344797,919455,574657,115513,36.0,0.0
15943,8914,16,79,16,110,31,18,4.938,0.0
15944,8911,16,79,16,110,31,18,4.938,0.0
15945,30278,53,251,53,352,101,63,23.566000000000003,0.0
15946,22012,42,204,42,283,79,44,4.857,0.0
15947,9469,17,84,17,117,33,19,4.941,0.0
15948,9685,19,94,19,131,37,21,4.947,0.0
15949,9703,19,94,19,131,37,21,4.947,0.0
15950,17356,23,132,23,155,23,24,5.739,0.0
15952,399839,1442,2930,1442,5811,2881,1773,2.032,0.0
15953,2023,5,15,5,25,10,11,3.0,0.0
15954,9434,1,163,1,272,109,110,1.918,0.0
15955,74929,372,1055,372,1571,516,239,5.672,0.0
15956,1936816,5313,21202,5313,31818,10616,5316,3.998,0.0
15957,1352573,3604,14332,3604,21526,7194,3607,3.992,0.0
15958,900250,1957,7827,1957,11769,3942,2009,4.051,0.0
15959,952764,2069,8275,2069,12441,4166,2121,4.048,0.0
15960,5745447,15365,61425,15365,92179,30754,15407,8.0,0.0
15961,5839,22,66,22,110,44,35,3.0,0.0
15962,1387,6,9,6,18,9,8,3.0,0.0
15963,1255,3,3,3,9,6,7,3.0,0.0
15968,57070176,3244,194413,3244,203745,9332,3561,60.527,0.0
15969,1375632,861,6620,861,9752,3132,2170,8.841000000000001,0.0
15970,4715810,5614,16842,5614,44912,28070,16880,3.0,0.0
15976,1558227,3336,8816,3336,13820,5004,3348,20.0,0.0
15977,1557633,3336,8816,3336,13820,5004,3348,20.0,0.0
15978,1666674,3336,8816,3336,13820,5004,3348,20.0,0.0
15979,57070176,3244,194413,3244,203745,9332,3561,60.527,0.0
15980,1375632,861,6620,861,9752,3132,2170,8.841000000000001,0.0
1600,6039,0,72,0,81,9,10,8.0,0.0
1602,87465,0,880,0,970,90,91,9.778,0.0
16021,263578,945,1934,945,4205,2271,832,3.358,0.0
16034,445738,661,1707,661,4027,2320,1296,391.883,0.0
16035,347435,602,1369,602,3308,1939,856,53.882999999999996,0.0
16036,347434,602,1369,602,3308,1939,856,53.882999999999996,0.0
16037,347504,602,1369,602,3308,1939,856,53.882999999999996,0.0
16038,349454,604,1384,604,3327,1943,862,68.883,0.0
16039,374445,633,1556,633,3588,2032,980,240.883,0.0
16040,347575,602,1370,602,3309,1939,856,54.882999999999996,0.0
16041,347458,602,1369,602,3308,1939,856,53.883,0.0
16042,347554,602,1370,602,3309,1939,856,54.882999999999996,0.0
16043,347554,602,1370,602,3309,1939,856,54.882999999999996,0.0
16044,345019,598,1354,598,3284,1930,843,38.882999999999996,0.0
16045,345019,598,1354,598,3284,1930,843,38.882999999999996,0.0
16046,505576,705,1977,705,4518,2541,1561,661.883,0.0
16047,345019,598,1354,598,3284,1930,843,38.882999999999996,0.0
16048,345019,598,1354,598,3284,1930,843,38.882999999999996,0.0
16049,345019,598,1354,598,3284,1930,843,38.882999999999996,0.0
16050,419217,680,1821,680,3983,2162,1157,505.883,1.0
16051,347573,602,1370,602,3309,1939,856,54.882999999999996,0.0
16052,360281,617,1452,617,3436,1984,916,136.883,0.5
16053,359552,614,1449,614,3424,1975,904,133.883,0.0
16054,347427,602,1369,602,3308,1939,856,53.882999999999996,0.0
16055,347897,602,1370,602,3310,1940,857,54.882999999999996,0.0
16056,347903,602,1370,602,3310,1940,857,54.882999999999996,0.0
16057,348832,603,1376,603,3319,1943,861,60.882999999999996,0.0
16058,347955,602,1370,602,3310,1940,857,54.883,0.0
16059,347913,602,1369,602,3310,1941,858,53.882999999999996,0.0
1606,433032,0,9000,0,9500,500,501,18.0,0.0
16060,347709,602,1370,602,3310,1940,857,54.882999999999996,0.0
16061,347689,602,1370,602,3310,1940,857,54.882999999999996,0.5
16062,347210,601,1367,601,3304,1937,853,51.882999999999996,1.0
16063,348558,603,1373,603,3317,1944,862,57.882999999999996,1.0
16064,347516,601,1369,601,3306,1937,853,53.882999999999996,0.0
16065,347659,602,1371,602,3310,1939,856,55.882999999999996,0.5
16066,347635,602,1370,602,3309,1939,856,54.882999999999996,0.5
16067,347818,602,1369,602,3308,1939,856,53.882999999999996,0.0
16068,347427,602,1369,602,3308,1939,856,53.882999999999996,0.0
16069,347731,602,1369,602,3308,1939,856,53.883,0.0
16070,347632,602,1369,602,3308,1939,856,53.882999999999996,0.0
16072,377709,632,1546,632,3579,2033,980,230.883,0.0
16073,350351,605,1388,605,3336,1948,868,72.88300000000001,0.0
16074,347511,602,1369,602,3308,1939,856,53.882999999999996,0.5
16075,365208,622,1490,622,3489,1999,936,174.883,0.5
16076,350525,604,1375,604,3330,1955,874,59.882999999999996,0.0
16077,348834,603,1379,603,3321,1942,860,63.882999999999996,1.0
16078,349635,604,1384,604,3329,1945,864,68.883,0.5
16079,831686,500,21816,500,23316,1500,1002,43.632,0.0
16080,218577,51,5536,51,5638,102,52,108.549,0.0
16081,449451,500,9475,500,10975,1500,1002,18.95,0.0
16082,239132,51,6834,51,6936,102,52,134.0,0.0
16083,220251,51,6222,51,6324,102,52,122.0,0.0
16084,355451,51,10042,51,10144,102,52,196.902,0.0
16086,220235,51,6222,51,6324,102,52,122.0,0.0
16087,351807,51,9936,51,10038,102,52,194.824,0.0
16088,220228,51,6222,51,6324,102,52,122.0,0.0
16089,355126,51,10037,51,10139,102,52,196.804,0.0
16090,351807,51,9936,51,10038,102,52,194.824,0.0
16091,221523,51,5661,51,5763,102,52,111.0,0.0
16092,239081,51,6834,51,6936,102,52,134.0,0.0
16093,217485,51,6018,51,6120,102,52,118.0,0.0
16094,217535,51,6018,51,6120,102,52,118.0,0.0
16095,231998,51,5967,51,6069,102,52,117.0,0.0
16096,223216,51,6324,51,6426,102,52,124.0,0.0
16097,361746,51,10251,51,10353,102,52,201.0,0.0
16098,231767,51,5967,51,6069,102,52,117.0,0.0
16099,223461,51,6324,51,6426,102,52,124.0,0.0
1610,326354,500,3511,500,4511,1000,501,7.022,0.0
16100,238829,51,6834,51,6936,102,52,134.0,0.0
16101,221550,51,5661,51,5763,102,52,111.0,0.0
16102,217489,51,6018,51,6120,102,52,118.0,0.0
16103,1006149,1000,16489,1000,18989,2500,1502,10.993,0.0
16104,213717,56,3918,56,4086,168,114,34.982,0.0
16105,220709,51,5661,51,5763,102,52,111.0,0.0
16106,221488,51,5661,51,5763,102,52,111.0,0.0
16107,239233,51,6834,51,6936,102,52,134.0,0.0
16108,217297,51,6018,51,6120,102,52,118.0,0.0
16109,221645,51,5661,51,5763,102,52,111.0,0.0
16110,778056,500,18499,500,19999,1500,1002,18.499,0.0
16111,213412,51,5660,51,5762,102,52,110.98,0.0
16112,235926,51,6681,51,6783,102,52,131.0,0.0
16113,239241,51,6834,51,6936,102,52,134.0,0.0
16114,365661,51,10353,51,10455,102,52,203.0,0.0
16115,220420,51,6222,51,6324,102,52,122.0,0.0
16116,368515,51,10455,51,10557,102,52,205.0,0.0
16117,218316,51,5538,51,5640,102,52,108.588,0.0
16118,220436,51,6220,51,6322,102,52,121.961,0.0
16119,340045,51,9572,51,9674,102,52,187.686,0.0
16120,209376,51,5914,51,6016,102,52,115.961,0.0
16121,309478,51,8694,51,8796,102,52,170.471,0.0
16122,226933,51,5790,51,5892,102,52,113.529,0.0
16123,209344,51,5914,51,6016,102,52,115.961,0.0
16124,328543,51,9282,51,9384,102,52,182.0,0.0
16125,219848,51,5792,51,5894,102,52,113.569,0.0
16126,209230,51,5912,51,6014,102,52,115.922,0.0
16127,2834245,500,77704,500,79204,1500,1002,77.704,0.0
16128,2771238,500,75922,500,77422,1500,1002,75.922,0.0
16129,58126,57,1191,57,1362,171,116,10.447,0.0
16130,327628,51,9275,51,9377,102,52,181.863,0.0
16131,240074,51,6681,51,6783,102,52,131.0,0.0
16132,239289,51,6834,51,6936,102,52,134.0,0.0
16133,226880,51,5785,51,5887,102,52,113.431,0.0
16134,629250,500,11974,500,13474,1500,1002,11.974,0.0
16135,209270,51,5912,51,6014,102,52,115.922,0.0
16136,15944,0,324,0,342,18,19,18.0,0.0
16137,255323,0,6888,0,6944,56,57,123.0,0.0
16138,778056,500,18499,500,19999,1500,1002,18.499,0.0
16139,323052,51,9278,51,9380,102,52,181.922,0.0
16140,21616,0,234,0,243,9,10,26.0,0.0
16141,323052,51,9278,51,9380,102,52,181.922,0.0
16142,718456,500,16178,500,17678,1500,1002,16.194,0.0
16143,1148799,1000,19999,1000,22652,2653,1655,13.333,0.0
16144,1119520,2000,21715,2000,26215,4500,2502,8.703,0.0
16145,322143,51,8772,51,8874,102,52,172.0,0.0
16146,227071,51,5795,51,5897,102,52,113.627,0.0
16147,2224249,500,43244,500,44744,1500,1002,43.244,0.0
16148,236052,51,6681,51,6783,102,52,131.0,0.0
16149,217494,51,6018,51,6120,102,52,118.0,0.0
1615,67067,65,780,65,910,130,66,12.0,0.0
16150,239132,51,6834,51,6936,102,52,134.0,0.0
16151,221292,51,5661,51,5763,102,52,111.0,0.0
16152,202891,51,5406,51,5508,102,52,106.0,0.0
16153,3229,2,128,2,151,23,23,6.737,0.0
16154,5499,2,225,2,261,36,36,7.258,0.0
16155,3229,2,128,2,151,23,23,6.737,0.0
16157,23471,23,186,23,278,92,27,8.087,0.0
16158,17027,21,159,21,232,73,30,7.571,0.0
16160,411870,500,4998,500,5998,1000,501,9.996,0.5
16162,191369,500,1991,500,2991,1000,501,3.982,0.0
16163,20403,25,200,25,275,75,27,8.0,0.0
16164,282787,500,4000,500,5000,1000,501,8.0,0.0
16166,174729,468,1872,468,2808,936,469,4.0,0.0
16167,13068,22,151,22,195,44,23,6.864,0.0
16169,213528,135,1350,135,1620,270,136,10.0,0.0
16170,20289,9,61,9,97,36,20,6.778,0.0
16171,16862,19,150,19,225,75,25,7.895,0.0
16173,63117,44,839,44,927,88,45,19.068,0.0
16176,7116,7,42,7,63,21,9,6.0,0.0
16180,9686,0,110,0,132,22,23,5.0,0.0
16183,11416,8,64,8,96,32,11,8.0,0.0
16188,2486,2,30,2,34,4,3,15.0,0.0
16189,5800,12,60,12,84,24,13,5.0,0.0
16190,64139,44,770,44,858,88,45,17.5,0.0
16193,1129,1,7,1,9,2,2,7.0,0.0
16194,1550,1,18,1,20,2,2,18.0,0.0
16195,203521,0,2501,0,3001,500,501,5.002,0.0
16197,427961,500,4498,500,5498,1000,501,8.996,0.0
16198,74319,108,1098,108,1314,216,109,10.167,0.0
16199,204944,312,2490,312,3114,624,313,7.981,0.0
1620,39283,115,460,115,690,230,116,4.0,0.0
16203,439678,461,5530,461,6452,922,462,11.996,0.0
16204,200194,500,2500,500,3500,1000,501,5.0,0.0
16205,293453,391,2872,391,3654,782,392,7.345,0.0
16208,23811,22,176,22,264,88,25,8.0,0.0
16209,354170,0,2806,0,3306,500,501,5.612,0.0
1621,1605120,0,35500,0,36000,500,501,71.0,0.5
16210,49469,44,516,44,604,88,45,11.727,0.0
16211,1152627,235,9306,235,9776,470,236,39.6,0.0
16212,2478464,500,19857,500,20857,1000,501,39.714,0.0
16213,18454,13,78,13,130,52,28,6.0,0.0
16214,818621,500,11500,500,12500,1000,501,23.0,0.0
16215,39133,0,468,0,528,60,61,7.8,0.0
16216,306172,0,2936,0,3436,500,501,5.872,0.0
16218,19578,19,152,19,228,76,36,8.0,0.0
1622,182162,0,3087,0,3351,264,265,11.693,0.5
16221,446641,500,6000,500,7000,1000,501,12.0,0.0
16222,308768,0,3000,0,3500,500,501,6.0,0.0
16223,104043,0,994,0,1161,167,168,5.952,0.0
16224,5634,5,40,5,60,20,8,8.0,0.0
16225,90012,142,1136,142,1420,284,143,8.0,0.0
16226,166471,392,1959,392,2743,784,393,4.997,0.0
16229,31203,73,438,73,584,146,74,6.0,0.0
1623,566566,0,9500,0,10000,500,501,19.0,0.0
16230,303172,500,4000,500,5000,1000,501,8.0,0.0
16231,14271,0,175,0,196,21,22,8.333,0.0
16232,1747,1,14,1,16,2,2,14.0,0.0
16233,81204,184,1197,184,1565,368,185,6.505,0.0
16235,4915,0,50,0,55,5,6,10.0,0.0
16236,13844442,500,2500,500,3500,1000,501,5.0,0.0
16239,517682,500,15000,500,16000,1000,501,30.0,0.0
16240,300771,335,3796,335,4466,670,336,11.331,0.0
16241,445335,490,5836,490,6816,980,491,11.91,0.0
16242,1319,1,11,1,13,2,2,11.0,0.0
16246,24020,23,193,23,285,92,26,8.391,0.0
16248,14684,28,196,28,252,56,29,7.0,0.0
16250,3717,5,35,5,45,10,6,7.0,0.0
16252,245421,0,3561,0,4061,500,501,7.122,0.0
16253,4007,5,60,5,70,10,6,12.0,0.0
16255,23337,60,240,60,360,120,61,4.0,0.0
16257,10662,10,195,10,215,20,11,19.5,0.0
16259,20496,19,152,19,228,76,23,8.0,0.0
16261,280221,500,4000,500,5000,1000,501,8.0,0.0
16262,1199,1,10,1,12,2,2,10.0,0.0
16263,474434,500,6000,500,7000,1000,501,12.0,0.0
16264,654736,121,4986,121,5228,242,122,41.207,0.0
16265,334890,0,3000,0,3500,500,501,6.0,0.0
16266,7586,3,19,3,31,12,8,6.333,0.0
16269,57156,92,736,92,920,184,93,8.0,0.0
1627,24773,41,287,41,369,82,42,7.0,0.6666666666666666
